#,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
501,LG Castillo,MIL,A,19-19,236,0.28,1.21,15.60%,46.30%,38.10%,14.30%,3.60%,43.40%,22.40%,34.20%,20.50%,245,583,828
502,Connor Smith,CLE,A,21-22,213,0.283,0.8,16.20%,37.30%,46.50%,33.30%,0.00%,45.50%,23.40%,31.00%,9.40%,323,503,826
503,LJ Talley,TOR,A,22-22,208,0.204,1.03,14.50%,43.40%,42.10%,23.00%,9.80%,41.60%,25.50%,32.90%,6.30%,315,509,824
504,Alexis Garcia,DET,A,20-20,225,0.303,1.42,17.10%,48.60%,34.30%,20.80%,2.10%,41.50%,25.20%,33.30%,13.60%,281,537,818
505,Richie Fecteau,LAA,A,23-23,246,0.333,0.74,18.00%,34.90%,47.10%,19.10%,9.00%,45.10%,31.30%,23.60%,8.90%,294,523,817
506,Luis Liberato,SEA,A,21-21,223,0.277,0.9,13.70%,41.00%,45.30%,15.90%,9.50%,39.20%,33.80%,27.00%,13.10%,310,501,811
507,Nick Feight,SDP,A,22-23,230,0.226,0.76,14.10%,37.00%,48.90%,27.80%,2.20%,38.30%,22.30%,39.40%,7.30%,280,531,811
508,Josh McLain,LAD,A,21-22,266,0.328,1.5,18.40%,48.90%,32.60%,17.70%,1.60%,49.70%,27.60%,22.60%,14.60%,230,578,808
509,Kevin Smith,TOR,A,21-21,204,0.397,0.8,20.40%,35.40%,44.20%,20.00%,10.80%,46.40%,20.90%,32.70%,9.30%,296,498,794
510,John Valente,DET,A,23-24,247,0.345,2.08,20.70%,53.50%,25.80%,17.60%,0.00%,38.30%,23.90%,37.80%,6.60%,264,527,791
511,Josh Rojas,HOU,A,23-23,219,0.268,0.71,17.90%,34.00%,48.10%,17.30%,13.30%,55.30%,20.80%,23.90%,9.00%,297,493,790
512,Trevor Casanova,MIN,A,23-23,200,0.296,1,9.30%,45.40%,45.40%,6.10%,8.20%,46.40%,16.10%,37.50%,16.30%,284,506,790
513,Grae Kessinger,HOU,A,21-21,201,0.261,0.75,20.30%,34.10%,45.70%,33.30%,3.20%,54.30%,23.60%,22.10%,7.60%,331,457,788
514,Ridge Smith,TOR,A,22-23,210,0.298,1.14,26.10%,39.40%,34.50%,22.40%,6.10%,38.20%,19.40%,42.40%,10.70%,300,488,788
515,Jesus Navarro,TOR,A,20-20,211,0.335,1.52,23.20%,46.40%,30.50%,32.60%,2.20%,42.00%,19.70%,38.20%,6.10%,277,507,784
516,Malik Collymore,CIN,A,22-23,209,0.333,1.12,18.10%,43.30%,38.60%,20.40%,8.20%,43.80%,25.40%,30.80%,14.60%,290,492,782
517,Taylor Jones,HOU,A,23-23,202,0.268,0.74,15.00%,36.20%,48.80%,22.60%,8.10%,42.60%,30.20%,27.10%,12.40%,288,492,780
518,Jose Cuas,MIL,A,23-23,203,0.265,0.71,15.10%,35.30%,49.60%,35.60%,5.10%,49.60%,26.40%,24.00%,12.30%,303,476,779
519,Cody Bohanek,HOU,A,21-22,208,0.287,1.2,15.00%,46.50%,38.60%,36.70%,8.20%,40.30%,19.40%,40.30%,10.10%,315,464,779
520,Onil Pena,SEA,A,21-21,202,0.304,2.38,14.80%,60.00%,25.20%,10.30%,6.90%,48.70%,19.70%,31.60%,12.20%,297,479,776
521,Alexis Wilson,STL,A,21-22,226,0.292,1.24,14.20%,47.50%,38.30%,14.50%,6.50%,50.90%,24.20%,24.80%,11.40%,276,499,775
522,Mitchell Kranson,MIN,A,23-23,236,0.318,0.95,14.80%,41.50%,43.80%,22.10%,3.90%,36.90%,19.60%,43.60%,14.10%,259,516,775
523,Hank Morrison,MIN,A,23-23,203,0.257,1.03,8.70%,46.40%,44.90%,25.80%,6.50%,38.20%,27.80%,34.00%,13.80%,280,489,769
524,Tanner Kirwer,TOR,A,23-23,209,0.351,1.49,17.70%,49.20%,33.10%,27.90%,2.30%,46.30%,29.10%,24.60%,10.80%,288,478,766
525,Eguy Rosario,SDP,A,17-17,204,0.287,1.16,24.20%,40.60%,35.20%,35.60%,0.00%,52.30%,18.50%,29.20%,14.80%,294,461,755
526,Spencer Steer,MIN,A,21-21,201,0.299,0.73,14.80%,35.90%,49.30%,20.00%,2.90%,50.00%,19.90%,30.10%,7.80%,294,446,740
527,Robbie Podorsky,SDP,A,23-23,229,0.411,1.89,24.90%,49.10%,26.00%,40.00%,2.20%,47.30%,23.40%,29.30%,6.20%,248,492,740
528,Brennen Davis,CHC,A,19-19,204,0.346,0.81,18.00%,36.70%,45.30%,17.50%,12.70%,44.10%,30.10%,25.90%,11.20%,273,460,733
529,Johnny Slater,SEA,A,21-21,201,0.295,0.88,13.90%,40.20%,45.90%,30.40%,3.60%,53.50%,18.90%,27.60%,14.60%,275,452,727
530,Brandon Lopez,MIN,A,23-23,200,0.331,2.33,12.50%,61.20%,26.30%,15.00%,0.00%,39.60%,17.50%,42.90%,7.20%,262,461,723
531,Robby Rinn,MIN,A,25-25,206,0.344,0.91,15.70%,40.30%,44.00%,20.00%,4.30%,43.80%,21.30%,35.00%,9.40%,264,446,710
532,Bradley Jones,TOR,A,22-22,208,0.392,2.06,22.50%,52.20%,25.40%,17.10%,25.70%,33.10%,36.00%,30.90%,14.00%,268,441,709
533,DJ Jenkins,LAA,A,23-23,208,0.376,1.86,10.90%,58.00%,31.20%,23.30%,0.00%,30.60%,27.80%,41.70%,9.60%,225,470,695
534,Brennon Lund,LAA,A,22-22,201,0.352,1.22,21.50%,43.10%,35.40%,19.60%,3.90%,30.90%,30.90%,38.30%,6.50%,270,421,691
535,Ben DeLuzio,ARI,A,22-22,202,0.383,1.98,20.10%,53.00%,26.80%,12.50%,0.00%,40.00%,24.50%,35.50%,7.90%,240,446,686
536,Oscar Campos,HOU,A,22-22,211,0.324,1.66,21.30%,49.10%,29.60%,28.00%,8.00%,48.30%,20.70%,31.00%,12.00%,179,428,607
